umls_code,mesh_code
C0031090,D010510
C0031099,D010518
C0031106,D010520
C0031149,D010534
C0031154,D010538
C0031190,D010547
C0031192,D006344
C0031212,D010554
C0031269,D010580
C0031306,D010585
C0031347,D010610
C0031391,D010623
C0031485,D010661
C0031511,D010673
C0031557,D002481
C0031900,D010855
C0031911,D010858
C0032000,D010911
C0032001,D010899
C0032002,D010900
C0032019,D010911
C0032027,D010916
C0032045,D010922
C0032197,D010981
C0032226,D010995
C0032227,D010996
C0032229,D010997
C0032230,D012135
C0032231,D010998
C0032269,D011008
C0032273,D011009
C0032285,D011014
C0032290,D011015
C0032300,D011014
C0032310,D011024
C0032326,D011030
C0032339,D011038
C0032371,D011051
C0032460,D011085
C0032461,D011086
C0032463,D011087
C0032578,D011123
C0032580,D011125
C0032584,D011127
C0032617,D011141
C0032768,D051474
C0032787,D011183
C0032796,D000568
C0032897,D011218
C0032914,D011225
C0032927,D011230
C0032962,D011248
C0032963,D011249
C0032987,D011271
C0033054,D011297
C0033132,D013132
C0033139,D007319
C0033141,D009202
C0033300,D011371
C0033375,D015175
C0033377,D011391
C0033575,D011469
C0033578,D011471
C0033581,D011472
C0033626,D011488
C0033680,D011504
C0033687,D011507
C0033770,D011535
C0033774,D011537
C0033788,D009081
C0033804,D012734
C0033805,D011546
C0033806,D011547
C0033817,D011552
C0033835,D011556
C0033847,D011561
C0033860,D011565
C0033922,D011596
C0033937,D011605
C0033941,D011605
C0033943,D019965
C0033953,D020018
C0033958,D011618
C0033975,D011618
C0034012,D011628
C0034013,D011629
C0034040,D011644
C0034050,D011649
C0034063,D011654
C0034065,D011655
C0034067,D011656
C0034068,D011657
C0034069,D011658
C0034091,D011668
C0034139,D011686
C0034152,D011695
C0034155,D011697
C0034186,D011704
C0034189,D018805
C0034219,D010510
C0034341,D015324
C0034345,D015325
C0034350,D015323
C0034362,D011778
C0034372,D011782
C0034535,D011832
C0034642,D012135
C0034734,D011928
C0034735,D011928
C0034885,D012004
C0034933,D012021
C0034951,D012030
C0034960,D012035
C0035021,D012061
C0035078,D051437
C0035126,D015427
C0035204,D012120
C0035220,D012127
C0035222,D012128
C0035228,D012130
C0035229,D012131
C0035234,D012135
C0035235,D018357
C0035238,D015619
C0035242,D012140
C0035243,D012141
C0035258,D012148
C0035304,D012162
C0035305,D012163
C0035309,D012164
C0035313,D015792
C0035320,D015861
C0035328,D012170
C0035333,D012173
C0035334,D012174
C0035335,D012175
C0035344,D012178
C0035353,D063173
C0035372,D015518
C0035410,D012206
C0035411,D012207
C0035412,D012208
C0035455,D012220
C0035457,D012221
C0035508,D012135
C0035528,D012257
C0035579,D012279
C0035585,D012282
C0035619,D000092243
C0035934,D012415
C0036069,D012779
C0036095,D012468
C0036118,D012481
C0036161,D012497
C0036202,D012507
C0036214,D012513
C0036216,D012513
C0036219,D012513
C0036220,D012514
C0036305,D010859
C0036323,D012552
C0036330,D012555
C0036337,D011618
C0036341,D012559
C0036344,D012560
C0036346,D012561
C0036349,D012563
C0036358,D011618
C0036391,D010009
C0036420,D012594
C0036421,D012595
C0036429,D012598
C0036439,D012600
C0036457,D012608
C0036489,D012618
C0036503,D012626
C0036529,D009202
C0036572,D012640
C0036631,D018239
C0036659,D012678
C0036690,D018805
C0036769,D012707
C0036830,D012713
C0036875,D012734
C0036902,D020018
C0036920,D012751
C0036939,D012753
C0036974,D012769
C0036980,D012770
C0036981,D012772
C0036982,D012771
C0036983,D012772
C0036996,D012779
C0037019,D012791
C0037036,D012798
C0037050,D018877
C0037052,D012804
C0037116,D012829
C0037140,D006566
C0037188,D012848
C0037198,D012851
C0037199,D012852
C0037221,D012857
C0037231,D016111
C0037268,D012868
C0037274,D012871
C0037286,D012878
C0037299,D012883
C0037315,D012891
C0037316,D012892
C0037383,D012912
C0037579,D012983
C0037650,D013001
C0037763,D013035
C0037768,D013746
C0037769,D013036
C0037771,D020336
C0037772,D010264
C0037773,D015419
C0037822,D013064
C0037889,D013103
C0037917,D016137
C0037926,D013117
C0037928,D013118
C0037932,D013121
C0037952,D013132
C0037997,D013158
C0037999,D013160
C0038002,D013163
C0038013,D013167
C0038015,D010009
C0038131,D013342
C0038160,D013203
C0038187,D013217
C0038219,D016135
C0038220,D013226
C0038271,D013239
C0038273,D019956
C0038279,D007247
C0038325,D013262
C0038354,D013272
C0038356,D013274
C0038358,D013276
C0038362,D013280
C0038368,D009057
C0038433,D003921
C0038441,D040921
